date,tournament,team,scored_goals,matches,conceded_goals,continent
2005,Friendly,Luxembourg,0.0,1.0,1.0,Europe
2005,Other,Luxembourg,1.0,6.0,24.0,Europe
2005,Friendly,Madagascar,2.0,1.0,0.0,Africa
2005,Friendly,Malawi,5.0,3.0,2.0,Africa
2005,Other,Malawi,9.0,7.0,20.0,Africa
2005,Friendly,Malaysia,1.0,2.0,4.0,Asia
2005,Other,Malaysia,3.0,2.0,5.0,Asia
2005,Other,Maldives,11.0,4.0,2.0,Asia
2005,Other,Mali,8.0,6.0,9.0,Africa
2005,Friendly,Malta,1.0,2.0,4.0,Europe
2005,Other,Malta,3.0,6.0,19.0,Europe
2005,Friendly,Mauritius,3.0,3.0,4.0,Africa
2005,Other,Mauritius,2.0,2.0,1.0,Africa
2005,Friendly,Mexico,8.0,7.0,7.0,Americas
2005,Other,Mexico,36.0,19.0,19.0,Americas
2005,Other,Moldova,4.0,6.0,7.0,Europe
2005,Other,Mongolia,4.0,3.0,13.0,Asia
2005,Friendly,Morocco,0.0,2.0,1.0,Africa
2005,Other,Morocco,13.0,6.0,4.0,Africa
2005,Friendly,Mozambique,4.0,3.0,2.0,Africa
2005,Other,Mozambique,0.0,1.0,3.0,Africa
2005,Other,Namibia,1.0,1.0,1.0,Africa
2005,Other,Nepal,4.0,3.0,5.0,Asia
2005,Friendly,Netherlands,3.0,3.0,5.0,Europe
2005,Other,Netherlands,17.0,8.0,0.0,Europe
2005,Other,Nicaragua,2.0,3.0,9.0,Americas
2005,Other,Nigeria,14.0,5.0,5.0,Africa
2005,Friendly,North Korea,0.0,2.0,3.0,Asia
2005,Other,North Korea,39.0,15.0,16.0,Asia
2005,Other,North Macedonia,5.0,7.0,17.0,Europe
2005,Friendly,Northern Ireland,3.0,4.0,7.0,Europe
2005,Other,Northern Ireland,5.0,6.0,10.0,Europe
2005,Friendly,Norway,11.0,8.0,6.0,Europe
2005,Other,Norway,6.0,8.0,6.0,Europe
2005,Friendly,Oman,5.0,4.0,7.0,Asia
2005,Friendly,Pakistan,4.0,3.0,2.0,Asia
2005,Other,Pakistan,2.0,6.0,2.0,Asia
2005,Other,Panama,12.0,20.0,32.0,Americas
2005,Friendly,Paraguay,10.0,5.0,5.0,Americas
2005,Other,Paraguay,11.0,7.0,12.0,Americas
2005,Friendly,Peru,3.0,1.0,1.0,Americas
2005,Other,Peru,8.0,9.0,15.0,Americas
2005,Friendly,Poland,18.0,8.0,11.0,Europe
2005,Other,Poland,17.0,6.0,4.0,Europe
2005,Friendly,Portugal,9.0,5.0,3.0,Europe
2005,Other,Portugal,15.0,7.0,2.0,Europe
2005,Friendly,Puerto Rico,1.0,1.0,3.0,Americas
2005,Friendly,Qatar,0.0,2.0,3.0,Asia
2005,Friendly,Republic of Ireland,3.0,3.0,2.0,Europe
2005,Other,Republic of Ireland,6.0,6.0,4.0,Europe
2005,Friendly,Romania,6.0,3.0,4.0,Europe
2005,Other,Romania,10.0,7.0,5.0,Europe
2005,Other,Russia,13.0,8.0,4.0,Europe
2005,Other,Rwanda,11.0,10.0,13.0,Africa
2005,Friendly,Réunion,2.0,2.0,3.0,Africa
2005,Other,San Marino,2.0,6.0,27.0,Europe
2005,Friendly,Saudi Arabia,10.0,10.0,16.0,Asia
2005,Other,Saudi Arabia,10.0,6.0,1.0,Asia
2005,Friendly,Scotland,3.0,2.0,3.0,Europe
2005,Other,Scotland,8.0,7.0,5.0,Europe
2005,Friendly,Senegal,7.0,5.0,8.0,Africa
2005,Other,Senegal,12.0,5.0,3.0,Africa
2005,Other,Serbia,6.0,6.0,1.0,Europe
2005,Other,Seychelles,0.0,1.0,3.0,Africa
2005,Friendly,Sierra Leone,5.0,3.0,0.0,Africa
2005,Friendly,Singapore,6.0,3.0,1.0,Asia
2005,Other,Singapore,9.0,3.0,4.0,Asia
2005,Friendly,Slovakia,4.0,2.0,2.0,Europe
2005,Other,Slovakia,11.0,10.0,11.0,Europe
2005,Friendly,Slovenia,0.0,3.0,4.0,Europe
2005,Other,Slovenia,6.0,6.0,10.0,Europe
2005,Other,Solomon Islands,1.0,2.0,9.0,Oceania
2005,Other,Somalia,4.0,4.0,15.0,Africa
2005,Friendly,South Africa,6.0,4.0,12.0,Africa
2005,Other,South Africa,20.0,12.0,17.0,Africa
2005,Friendly,South Korea,13.0,9.0,7.0,Asia
2005,Other,South Korea,10.0,9.0,7.0,Asia
2005,Friendly,Spain,7.0,3.0,1.0,Europe
2005,Other,Spain,22.0,9.0,4.0,Europe
2005,Other,Sri Lanka,1.0,3.0,5.0,Asia
2005,Friendly,Sudan,9.0,4.0,8.0,Africa
2005,Other,Sudan,13.0,9.0,18.0,Africa
2005,Friendly,Sweden,8.0,6.0,8.0,Europe
2005,Other,Sweden,16.0,6.0,2.0,Europe
2005,Other,Switzerland,13.0,9.0,8.0,Europe
2005,Friendly,Syria,9.0,7.0,14.0,Asia
2005,Friendly,Tajikistan,4.0,2.0,3.0,Asia
2005,Other,Thailand,1.0,2.0,3.0,Asia
2005,Friendly,Togo,4.0,4.0,6.0,Africa
2005,Other,Togo,14.0,5.0,6.0,Africa
2005,Friendly,Trinidad and Tobago,12.0,8.0,4.0,Americas
2005,Other,Trinidad and Tobago,20.0,18.0,27.0,Americas
2005,Friendly,Tunisia,8.0,3.0,4.0,Africa
2005,Other,Tunisia,20.0,9.0,8.0,Africa
2005,Friendly,Turkey,3.0,2.0,4.0,Asia
2005,Other,Turkey,21.0,9.0,8.0,Asia
2005,Other,Uganda,20.0,10.0,12.0,Africa
2005,Friendly,Ukraine,3.0,3.0,1.0,Europe
2005,Other,Ukraine,9.0,7.0,4.0,Europe
2005,Friendly,United Arab Emirates,8.0,8.0,14.0,Asia
2005,Friendly,United States,6.0,4.0,3.0,Americas
2005,Other,United States,27.0,16.0,9.0,Americas
2005,Other,Uruguay,8.0,9.0,6.0,Americas
2005,Other,Uzbekistan,8.0,8.0,12.0,Asia
2005,Friendly,Venezuela,5.0,3.0,4.0,Americas
2005,Other,Venezuela,7.0,7.0,11.0,Americas
2005,Friendly,Wales,2.0,3.0,1.0,Europe
2005,Other,Wales,5.0,6.0,7.0,Europe
2005,Friendly,Zambia,8.0,6.0,4.0,Africa
2005,Other,Zambia,17.0,9.0,10.0,Africa
2005,Friendly,Zimbabwe,4.0,5.0,8.0,Africa
2005,Other,Zimbabwe,17.0,9.0,9.0,Africa
2005,Other,Åland Islands,5.0,3.0,4.0,Europe
2006,Other,Afghanistan,3.0,2.0,3.0,Asia
2006,Friendly,Albania,4.0,3.0,2.0,Europe
2006,Other,Albania,3.0,3.0,6.0,Europe
2006,Friendly,Algeria,2.0,4.0,4.0,Africa
2006,Other,Algeria,1.0,2.0,0.0,Africa
2006,Other,Andorra,1.0,4.0,19.0,Europe
2006,African Cup of Nations,Angola,4.0,3.0,5.0,Africa
2006,FIFA World Cup,Angola,1.0,3.0,2.0,Africa
2006,Friendly,Angola,5.0,5.0,9.0,Africa
2006,Other,Angola,15.0,6.0,6.0,Africa
2006,Other,Anguilla,5.0,3.0,18.0,Americas
2006,Friendly,Antigua and Barbuda,4.0,4.0,7.0,Americas
2006,Other,Antigua and Barbuda,8.0,6.0,17.0,Americas
2006,FIFA World Cup,Argentina,11.0,5.0,3.0,Americas
2006,Friendly,Argentina,5.0,4.0,8.0,Americas
2006,Other,Armenia,0.0,6.0,9.0,Asia
2006,FIFA World Cup,Australia,5.0,4.0,6.0,Oceania
2006,Friendly,Australia,7.0,5.0,4.0,Oceania
2006,Other,Australia,7.0,4.0,3.0,Oceania
2006,Friendly,Austria,12.0,8.0,14.0,Europe
2006,Friendly,Azerbaijan,1.0,4.0,7.0,Asia
2006,Other,Azerbaijan,1.0,4.0,8.0,Asia
2006,Other,Bahamas,7.0,5.0,15.0,Americas
2006,Friendly,Bahrain,2.0,5.0,7.0,Asia
2006,Other,Bahrain,3.0,4.0,6.0,Asia
2006,Other,Bangladesh,8.0,10.0,27.0,Asia
2006,Friendly,Barbados,7.0,2.0,2.0,Americas
2006,Other,Barbados,14.0,5.0,5.0,Americas
2006,Friendly,Belarus,5.0,4.0,6.0,Europe
2006,Other,Belarus,9.0,6.0,13.0,Europe
2006,Friendly,Belgium,8.0,4.0,5.0,Europe
2006,Other,Belgium,4.0,5.0,2.0,Europe
2006,Other,Benin,3.0,2.0,2.0,Africa
2006,Other,Bermuda,8.0,3.0,2.0,Americas
2006,Other,Bhutan,0.0,2.0,3.0,Asia
2006,Friendly,Bolivia,4.0,1.0,1.0,Americas
2006,Friendly,Bosnia and Herzegovina,5.0,4.0,11.0,Europe
2006,Other,Bosnia and Herzegovina,8.0,4.0,11.0,Europe
2006,Friendly,Botswana,3.0,6.0,2.0,Africa
2006,Other,Botswana,2.0,4.0,1.0,Africa
2006,FIFA World Cup,Brazil,10.0,5.0,2.0,Americas
2006,Friendly,Brazil,15.0,7.0,3.0,Americas
2006,Other,Bulgaria,10.0,6.0,9.0,Europe
2006,Other,Burkina Faso,2.0,2.0,2.0,Africa
2006,Other,Burundi,7.0,4.0,8.0,Africa
2006,Other,Cambodia,6.0,5.0,9.0,Asia
2006,African Cup of Nations,Cameroon,8.0,4.0,2.0,Africa
2006,Friendly,Cameroon,1.0,2.0,2.0,Africa
2006,Other,Cameroon,6.0,2.0,0.0,Africa
2006,Friendly,Canada,4.0,5.0,3.0,Americas
2006,Other,Cape Verde,1.0,2.0,2.0,Africa
2006,Other,Cayman Islands,1.0,3.0,12.0,Americas
2006,Other,Chad,1.0,2.0,5.0,Africa
2006,Friendly,Chile,12.0,7.0,7.0,Americas
2006,Other,Chile,4.0,2.0,2.0,Americas
2006,Friendly,China,2.0,3.0,8.0,Asia
2006,Other,China,7.0,6.0,3.0,Asia
2006,Friendly,Colombia,8.0,7.0,7.0,Americas
2006,Other,Congo,3.0,2.0,1.0,Africa
2006,FIFA World Cup,Costa Rica,3.0,3.0,9.0,Americas
2006,Friendly,Costa Rica,5.0,6.0,12.0,Americas
2006,FIFA World Cup,Croatia,2.0,3.0,3.0,Europe
2006,Friendly,Croatia,12.0,6.0,8.0,Europe
2006,Other,Croatia,17.0,6.0,5.0,Europe
2006,Other,Cuba,24.0,6.0,2.0,Americas
2006,Other,Curaçao,1.0,3.0,7.0,Americas
2006,Other,Cyprus,10.0,6.0,13.0,Asia
2006,FIFA World Cup,Czech Republic,3.0,3.0,4.0,Europe
2006,Friendly,Czech Republic,10.0,6.0,6.0,Europe
2006,Other,Czech Republic,13.0,4.0,2.0,Europe
2006,Other,DR Congo,4.0,2.0,3.0,Africa
2006,Friendly,Denmark,10.0,6.0,6.0,Europe
2006,Other,Denmark,6.0,3.0,0.0,Europe
2006,Other,Djibouti,3.0,5.0,18.0,Africa
2006,Friendly,Dominica,0.0,2.0,6.0,Americas
2006,Other,Dominica,0.0,2.0,5.0,Americas
2006,Other,Dominican Republic,3.0,4.0,10.0,Americas
2006,FIFA World Cup,Ecuador,5.0,4.0,4.0,Americas
2006,Friendly,Ecuador,5.0,7.0,8.0,Americas
2006,African Cup of Nations,Egypt,12.0,6.0,3.0,Africa
2006,Friendly,Egypt,4.0,5.0,6.0,Africa
2006,Other,Egypt,4.0,2.0,1.0,Africa
2006,Friendly,El Salvador,1.0,4.0,7.0,Americas
2006,FIFA World Cup,England,6.0,5.0,2.0,Europe
2006,Friendly,England,16.0,5.0,3.0,Europe
2006,Other,England,6.0,4.0,2.0,Europe
2006,Friendly,Equatorial Guinea,2.0,1.0,0.0,Africa
2006,Other,Equatorial Guinea,2.0,2.0,4.0,Africa
2006,Other,Eritrea,2.0,2.0,1.0,Africa
